OBJECTID,School,CountyReport,Number_of_Total_Cases,ReportDate
629,DeMatha Catholic High School,Prince George's,6,2021/02/24 15:00:00+00
630,Friends School of Baltimore,Baltimore City,2,2021/02/24 15:00:00+00
631,Mount Saint Joseph High School,Baltimore City,2,2021/02/24 15:00:00+00
632,Oklahoma Rd Middle School,Carroll,2,2021/02/24 15:00:00+00
633,Rosedale Baptist School,Baltimore,2,2021/02/24 15:00:00+00
634,South Carroll High School,Carroll,4,2021/02/24 15:00:00+00
635,Spring Ridge Middle School,St. Mary's,2,2021/02/24 15:00:00+00
636,St. Martin's in the Field Episcopal School,Anne Arundel,2,2021/02/24 15:00:00+00
637,St. Paul's School ,Baltimore,4,2021/02/24 15:00:00+00
638,The Country School,Talbot,5,2021/02/24 15:00:00+00
639,The Primary Day School,Montgomery,8,2021/02/24 15:00:00+00
640,Torah School of Greater Washington,Montgomery,2,2021/02/24 15:00:00+00
641,Bais Yaakov Eva Winer High School,Baltimore,51,2021/02/24 15:00:00+00
642,Bethel Christian Academy,Howard,3,2021/02/24 15:00:00+00
643,Calvary Baptist Church Academy,Anne Arundel,8,2021/02/24 15:00:00+00
644,Catoctin Highschool,Frederick,2,2021/02/24 15:00:00+00
645,DeMatha Catholic High School,Prince George's,6,2021/02/24 15:00:00+00
646,Friends School of Baltimore,Baltimore City,2,2021/02/24 15:00:00+00
647,Mount Saint Joseph High School,Baltimore City,2,2021/02/24 15:00:00+00
648,Oklahoma Rd Middle School,Carroll,2,2021/02/24 15:00:00+00
649,Rosedale Baptist School,Baltimore,2,2021/02/24 15:00:00+00
650,South Carroll High School,Carroll,4,2021/02/24 15:00:00+00
651,Spring Ridge Middle School,St. Mary's,2,2021/02/24 15:00:00+00
652,St. Martin's in the Field Episcopal School,Anne Arundel,2,2021/02/24 15:00:00+00
653,St. Paul's School ,Baltimore,4,2021/02/24 15:00:00+00
654,The Country School,Talbot,5,2021/02/24 15:00:00+00
655,The Primary Day School,Montgomery,8,2021/02/24 15:00:00+00
656,Torah School of Greater Washington,Montgomery,2,2021/02/24 15:00:00+00
657,Arundel Christian School,Anne Arundel,3,2021/03/03 15:00:00+00
658,Bethel Christian Academy,Howard,5,2021/03/03 15:00:00+00
659,Calvary Baptist Church Academy,Anne Arundel,8,2021/03/03 15:00:00+00
660,Calvert Hall College High School,Baltimore,3,2021/03/03 15:00:00+00
661,Friends School of Baltimore,Baltimore City,2,2021/03/03 15:00:00+00
662,Mechanicsville Elementary,Carroll,2,2021/03/03 15:00:00+00
663,Mt. Aetna Adventist School,Washington,2,2021/03/03 15:00:00+00
664,Mount Saint Joseph High School,Baltimore City,4,2021/03/03 15:00:00+00
665,Odenton Christian School,Anne Arundel,2,2021/03/03 15:00:00+00
666,Redeemer Classical Christian School,Baltimore,3,2021/03/03 15:00:00+00
667,Rosedale Baptist School,Baltimore,2,2021/03/03 15:00:00+00
668,South Carroll High,Carroll,4,2021/03/03 15:00:00+00
669,Spring Ridge Middle,St. Mary's,2,2021/03/03 15:00:00+00
670,St. John's Catholic Preparatory School,Frederick,7,2021/03/03 15:00:00+00
671,St. Martin's in the Field Episcopal School,Anne Arundel,2,2021/03/03 15:00:00+00
672,St. Thomas More Academy,Frederick,6,2021/03/03 15:00:00+00
673,The Country School,Talbot,7,2021/03/03 15:00:00+00
674,Torah School of Greater Washington,Montgomery,2,2021/03/03 15:00:00+00
675,Arundel Christian School,Anne Arundel,3,2021/03/03 15:00:00+00
676,Bethel Christian Academy,Howard,5,2021/03/03 15:00:00+00
677,Calvary Baptist Church Academy,Anne Arundel,8,2021/03/03 15:00:00+00
678,Calvert Hall College High School,Baltimore,3,2021/03/03 15:00:00+00
679,Friends School of Baltimore,Baltimore City,2,2021/03/03 15:00:00+00
680,Mechanicsville Elementary,Carroll,2,2021/03/03 15:00:00+00
681,Mt. Aetna Adventist School,Washington,2,2021/03/03 15:00:00+00
682,Mount Saint Joseph High School,Baltimore City,4,2021/03/03 15:00:00+00
683,Odenton Christian School,Anne Arundel,2,2021/03/03 15:00:00+00
684,Redeemer Classical Christian School,Baltimore,3,2021/03/03 15:00:00+00
685,Rosedale Baptist School,Baltimore,2,2021/03/03 15:00:00+00
686,South Carroll High,Carroll,4,2021/03/03 15:00:00+00
687,Spring Ridge Middle,St. Mary's,2,2021/03/03 15:00:00+00
688,St. John's Catholic Preparatory School,Frederick,7,2021/03/03 15:00:00+00
689,St. Martin's in the Field Episcopal School,Anne Arundel,2,2021/03/03 15:00:00+00
690,St. Thomas More Academy,Frederick,6,2021/03/03 15:00:00+00
691,The Country School,Talbot,7,2021/03/03 15:00:00+00
692,Torah School of Greater Washington,Montgomery,2,2021/03/03 15:00:00+00
717,Arundel Christian School,Anne Arundel,3,2021/03/10 15:00:00+00
718,Boonsboro High School,Washington,4,2021/03/10 15:00:00+00
719,The Bryn Mawr School ,Baltimore City,2,2021/03/10 15:00:00+00
720,Friendship Valley Elementary,Carroll,2,2021/03/10 15:00:00+00
721,Garrison Forest School,Baltimore,2,2021/03/10 15:00:00+00
722,Leith Walk Elementary/Middle School,Baltimore City,2,2021/03/10 15:00:00+00
723,Mechanicsville Elementary,Carroll,5,2021/03/10 15:00:00+00
724,Mt. Aetna Adventist School,Washington,4,2021/03/10 15:00:00+00
725,Mount Saint Joseph High School,Baltimore City,4,2021/03/10 15:00:00+00
726,Ner Israel Rabbinical College,Baltimore,4,2021/03/10 15:00:00+00
727,Odenton Christian School,Anne Arundel,2,2021/03/10 15:00:00+00
728,Redeemer Classical Christian School,Baltimore,4,2021/03/10 15:00:00+00
729,Rosedale Baptist School,Baltimore,5,2021/03/10 15:00:00+00
730,St. John's Catholic Preparatory School,Frederick,10,2021/03/10 15:00:00+00
731,St. Maria Goretti High School,Washington,4,2021/03/10 15:00:00+00
732,St. Michael - St. Clement School,Baltimore,3,2021/03/10 15:00:00+00
733,St. Thomas More Academy,Frederick,10,2021/03/10 15:00:00+00
734,St. Ursula School,Baltimore,2,2021/03/10 15:00:00+00
735,The Country School,Talbot,7,2021/03/10 15:00:00+00
736,West Frederick Middle School,Frederick,2,2021/03/10 15:00:00+00
737,Westminster High School,Carroll,7,2021/03/10 15:00:00+00
738,White Marsh Elementary School,St. Mary's,2,2021/03/10 15:00:00+00
739,Winters Mill High School,Carroll,2,2021/03/10 15:00:00+00
740,Yeshiva of Greater Washington,Montgomery,4,2021/03/10 15:00:00+00
805,Bais Yaakov Eva Winer High School,Baltimore,5,2021/03/17 15:00:00+00
806,Boonsboro High School,Washington,7,2021/03/17 15:00:00+00
807,The Bryn Mawr School ,Baltimore City,2,2021/03/17 15:00:00+00
808,Clear Spring High School,Washington,3,2021/03/17 15:00:00+00
809,Francis Scott Key Elementary School,Baltimore City,3,2021/03/17 15:00:00+00
810,Hammond High School,Howard,2,2021/03/17 15:00:00+00
811,The John Carroll School,Harford,3,2021/03/17 15:00:00+00
812,KIPP Harmony Academy,Baltimore City,2,2021/03/17 15:00:00+00
813,Leith Walk Elementary/Middle School,Baltimore City,2,2021/03/17 15:00:00+00
814,Lincolnshire Elementary,Washington,3,2021/03/17 15:00:00+00
815,Manchester Valley High School,Carroll,3,2021/03/17 15:00:00+00
816,Mechanicsville Elementary,Carroll,5,2021/03/17 15:00:00+00
817,Mt. Aetna Adventist School,Washington,4,2021/03/17 15:00:00+00
818,Mount Saint Joseph High School,Baltimore City,9,2021/03/17 15:00:00+00
819,Ner Israel Rabbinical College,Baltimore,4,2021/03/17 15:00:00+00
820,Rosedale Baptist School,Baltimore,5,2021/03/17 15:00:00+00
821,Sabillasville Elementary School,Frederick,2,2021/03/17 15:00:00+00
822,Sparrows Point High School,Baltimore,6,2021/03/17 15:00:00+00
823,St. John Regional Catholic School,Frederick,2,2021/03/17 15:00:00+00
824,Saint John's Catholic Preparatory School,Frederick,10,2021/03/17 15:00:00+00
825,St. Maria Goretti High School,Washington,4,2021/03/17 15:00:00+00
826,St. Michael- St. Clement School,Baltimore,3,2021/03/17 15:00:00+00
827,St. Thomas More Academy,Frederick,15,2021/03/17 15:00:00+00
828,St. Ursula School,Baltimore,2,2021/03/17 15:00:00+00
829,Stepping Stones Learning Academy,Wicomico,6,2021/03/17 15:00:00+00
830,The Country School,Talbot,8,2021/03/17 15:00:00+00
831,Walt Whitman High School,Montgomery,4,2021/03/17 15:00:00+00
832,Westminster High School,Carroll,7,2021/03/17 15:00:00+00
833,White Marsh Elementary School,St. Mary's,2,2021/03/17 15:00:00+00
834,Winston Churchill High School,Montgomery,2,2021/03/17 15:00:00+00
835,Winter's Mill High School,Carroll,2,2021/03/17 15:00:00+00
864,Bais Yaakov Eva Winer High School,Baltimore,9,2021/03/24 15:00:00+00
865,Boonsboro High School,Washington,10,2021/03/24 15:00:00+00
866,Clear Spring High School,Washington,3,2021/03/24 15:00:00+00
867,Francis Scott Key Elementary School,Baltimore City,3,2021/03/24 15:00:00+00
868,Frederick High School,Frederick,4,2021/03/24 15:00:00+00
869,Immaculate Conception School,Baltimore,6,2021/03/24 15:00:00+00
870,The John Carroll School,Harford,3,2021/03/24 15:00:00+00
871,KIPP Harmony Academy,Baltimore City,3,2021/03/24 15:00:00+00
872,Lincolnshire Elementary,Washington,3,2021/03/24 15:00:00+00
873,Manchester Valley High School,Carroll,3,2021/03/24 15:00:00+00
874,Mt. Aetna Adventist School,Washington,4,2021/03/24 15:00:00+00
875,Odenton Christian School,Anne Arundel,10,2021/03/24 15:00:00+00
876,Parkside High School,Wicomico,4,2021/03/24 15:00:00+00
877,"Rochambeau, The French International School",Montgomery,2,2021/03/24 15:00:00+00
878,Sabillasville Elementary School,Frederick,2,2021/03/24 15:00:00+00
879,Snow Hill Middle School,Worcester,3,2021/03/24 15:00:00+00
880,St. John Regional Catholic School,Frederick,2,2021/03/24 15:00:00+00
881,St. Thomas More Academy,Frederick,15,2021/03/24 15:00:00+00
882,Stepping Stones Learning Academy,Wicomico,6,2021/03/24 15:00:00+00
883,Talmudical Academy - Elementary School,Baltimore,4,2021/03/24 15:00:00+00
884,Talmudical Academy - High School,Baltimore,2,2021/03/24 15:00:00+00
885,The Norwood School,Montgomery,2,2021/03/24 15:00:00+00
886,Walt Whitman High School,Montgomery,4,2021/03/24 15:00:00+00
887,Waverly Elementary School,Howard,2,2021/03/24 15:00:00+00
888,Westminster High School,Carroll,9,2021/03/24 15:00:00+00
889,White Marsh Elementary School,St. Mary's,2,2021/03/24 15:00:00+00
890,Winston Churchill High School,Montgomery,2,2021/03/24 15:00:00+00
891,Winter's Mill High School,Carroll,3,2021/03/24 15:00:00+00
892,Archbishop Curley High School,Baltimore City,2,2021/03/31 15:00:00+00
893,Bais Yaakov Eva Winer High School,Baltimore,9,2021/03/31 15:00:00+00
894,Bohemia Manor High School,Cecil,3,2021/03/31 15:00:00+00
895,Boonsboro High School,Washington,13,2021/03/31 15:00:00+00
896,Boys' Latin School of Maryland,Baltimore City,2,2021/03/31 15:00:00+00
897,Calvert Hall College High School,Baltimore,3,2021/03/31 15:00:00+00
898,Cecil County School of Technology,Cecil,3,2021/03/31 15:00:00+00
899,Century High School,Carroll,3,2021/03/31 15:00:00+00
900,From the Heart Christian School,Montgomery,8,2021/03/31 15:00:00+00
901,Gilpin Manor Elementary School,Cecil,2,2021/03/31 15:00:00+00
902,Governor Thomas Johnson High School,Frederick,5,2021/03/31 15:00:00+00
903,Holly Grove Christian School,Somerset,2,2021/03/31 15:00:00+00
904,Howard High School,Howard,2,2021/03/31 15:00:00+00
905,Immaculate Conception School,Baltimore,11,2021/03/31 15:00:00+00
906,The John Carroll School,Harford,3,2021/03/31 15:00:00+00
907,Liberty Christian School,Baltimore,2,2021/03/31 15:00:00+00
908,McDonogh School,Baltimore,2,2021/03/31 15:00:00+00
909,Mechanicsville Elementary,Carroll,7,2021/03/31 15:00:00+00
910,Montgomery Blair High School,Montgomery,2,2021/03/31 15:00:00+00
911,Mt. Aetna Adventist School,Washington,4,2021/03/31 15:00:00+00
912,Odenton Christian School,Anne Arundel,11,2021/03/31 15:00:00+00
913,Orchard Grove Elementary School,Frederick,2,2021/03/31 15:00:00+00
914,Our Lady of Good Counsel High School,Montgomery,3,2021/03/31 15:00:00+00
915,Our Lady of Perpetual Help School,Howard,2,2021/03/31 15:00:00+00
916,Parkside High School,Wicomico,4,2021/03/31 15:00:00+00
917,Patapsco High School,Baltimore,2,2021/03/31 15:00:00+00
918,Pleasant Valley Elementary,Washington,2,2021/03/31 15:00:00+00
919,Rising Sun High School,Cecil,2,2021/03/31 15:00:00+00
920,River Hill High School,Howard,2,2021/03/31 15:00:00+00
921,"Rochambeau, The French International School",Montgomery,4,2021/03/31 15:00:00+00
922,Rock Church Academy,Baltimore,2,2021/03/31 15:00:00+00
923,Snow Hill Middle School,Worcester,6,2021/03/31 15:00:00+00
924,Stepping Stones Learning Academy,Wicomico,6,2021/03/31 15:00:00+00
925,Talbot Springs Elementary School,Howard,2,2021/03/31 15:00:00+00
926,Talmudical Academy Elementary School,Baltimore,6,2021/03/31 15:00:00+00
927,The Norwood School,Montgomery,2,2021/03/31 15:00:00+00
928,Walkersville High School,Frederick,3,2021/03/31 15:00:00+00
929,White Marsh Elementary School,St. Mary's,2,2021/03/31 15:00:00+00
930,Williamsport High School,Washington,6,2021/03/31 15:00:00+00
931,Winston Churchill High School,Montgomery,2,2021/03/31 15:00:00+00
976,Archbishop Curley High School,Baltimore City,2,2021/04/07 15:00:00+00
977,Bais Yaakov Eva Winer High School,Baltimore,9,2021/04/07 15:00:00+00
978,Bohemia Manor High School,Cecil,3,2021/04/07 15:00:00+00
979,Boonsboro High School,Washington,14,2021/04/07 15:00:00+00
980,Boys' Latin School of Maryland,Baltimore City,4,2021/04/07 15:00:00+00
981,Calvert Hall College High School,Baltimore,6,2021/04/07 15:00:00+00
982,Catonsville High School,Baltimore,2,2021/04/07 15:00:00+00
983,Cecil County School of Technology,Cecil,3,2021/04/07 15:00:00+00
984,Century High School,Carroll,3,2021/04/07 15:00:00+00
985,Concordia Preparatory School,Baltimore,3,2021/04/07 15:00:00+00
986,Eastern Technical High School,Baltimore,2,2021/04/07 15:00:00+00
987,Forest Lakes Elementary School,Harford,2,2021/04/07 15:00:00+00
988,From the Heart Christian School,Montgomery,8,2021/04/07 15:00:00+00
989,Gilpin Manor Elementary School,Cecil,2,2021/04/07 15:00:00+00
990,Governor Thomas Johnson High School,Frederick,5,2021/04/07 15:00:00+00
991,Great Mills High School,St. Mary's,2,2021/04/07 15:00:00+00
992,Holly Grove Christian School,Somerset,4,2021/04/07 15:00:00+00
993,Howard High School,Howard,2,2021/04/07 15:00:00+00
994,Immaculate Conception School,Baltimore,9,2021/04/07 15:00:00+00
995,The John Carroll School,Harford,5,2021/04/07 15:00:00+00
996,Laurel Hall,Washington,2,2021/04/07 15:00:00+00
997,Liberty Christian School,Baltimore,2,2021/04/07 15:00:00+00
998,McDonogh School,Baltimore,3,2021/04/07 15:00:00+00
999,Montgomery Blair High School,Montgomery,2,2021/04/07 15:00:00+00
1000,North Caroline High School,Caroline,3,2021/04/07 15:00:00+00
1001,North Dorchester Middle School,Dorchester,2,2021/04/07 15:00:00+00
1002,Oakdale High School,Frederick,2,2021/04/07 15:00:00+00
1003,Orchard Grove Elementary School,Frederick,2,2021/04/07 15:00:00+00
1004,Our Lady of Good Counsel High School,Montgomery,3,2021/04/07 15:00:00+00
1005,Our Lady of Lourdes School - 4th Grade,Montgomery,3,2021/04/07 15:00:00+00
1006,Our Lady of Perpetual Help School,Howard,2,2021/04/07 15:00:00+00
1007,Pleasant Valley Elementary,Washington,3,2021/04/07 15:00:00+00
1008,Rising Sun High School,Cecil,2,2021/04/07 15:00:00+00
1009,Sherwood High School,Montgomery,2,2021/04/07 15:00:00+00
1010,Snow Hill Middle School,Worcester,6,2021/04/07 15:00:00+00
1011,Springfield Middle School,Washington,2,2021/04/07 15:00:00+00
1012,St. John the Evangelist School,Anne Arundel,6,2021/04/07 15:00:00+00
1013,Stephen Decatur High School,Worcester,4,2021/04/07 15:00:00+00
1014,Talbot Springs Elementary School,Howard,4,2021/04/07 15:00:00+00
1015,Talmudical Academy Elementary School,Baltimore,6,2021/04/07 15:00:00+00
1016,The Heights School,Montgomery,2,2021/04/07 15:00:00+00
1017,Walkersville High School,Frederick,6,2021/04/07 15:00:00+00
1018,Williamsport High School,Washington,13,2021/04/07 15:00:00+00
1060,Archbishop Curley High School,Baltimore City,2,2021/04/13 15:00:00+00
1061,Bais Yaakov Eva Winer High School,Baltimore,9,2021/04/13 15:00:00+00
1062,Beall Elementary School,Allegany,5,2021/04/13 15:00:00+00
1063,Bellows Spring Elementary School,Howard,3,2021/04/13 15:00:00+00
1064,Boonsboro High School,Washington,14,2021/04/13 15:00:00+00
1065,Boys' Latin School of Maryland,Baltimore City,4,2021/04/13 15:00:00+00
1066,Calvert Hall College High School,Baltimore,6,2021/04/13 15:00:00+00
1067,Catonsville High School,Baltimore,2,2021/04/13 15:00:00+00
1068,Century High School,Carroll,3,2021/04/13 15:00:00+00
1069,Chopticon High School,St. Mary's,2,2021/04/13 15:00:00+00
1070,Concordia Preparatory School,Baltimore,4,2021/04/13 15:00:00+00
1071,Eastern Elementary School,Washington,3,2021/04/13 15:00:00+00
1072,Eastern Technical High School,Baltimore,3,2021/04/13 15:00:00+00
1073,Forest Lakes Elementary School,Harford,3,2021/04/13 15:00:00+00
1074,Fulton Elementary School,Howard,5,2021/04/13 15:00:00+00
1075,Great Mills High School,St. Mary's,2,2021/04/13 15:00:00+00
1076,Great Seneca Creek Elementary School,Montgomery,2,2021/04/13 15:00:00+00
1077,Howard High School,Howard,2,2021/04/13 15:00:00+00
1078,Laurel Hall School,Washington,2,2021/04/13 15:00:00+00
1079,Mace's Lane Middle School,Dorchester,3,2021/04/13 15:00:00+00
1080,Marriotts Ridge High School,Howard,2,2021/04/13 15:00:00+00
1081,McDonogh School,Baltimore,3,2021/04/13 15:00:00+00
1082,North Caroline High School,Caroline,3,2021/04/13 15:00:00+00
1083,North Dorchester Middle School,Dorchester,2,2021/04/13 15:00:00+00
1084,Our Lady of Lourdes School,Montgomery,3,2021/04/13 15:00:00+00
1085,Patterson Mill Middle High School,Harford,3,2021/04/13 15:00:00+00
1086,Paul Laurence Dunbar High School,Baltimore City,2,2021/04/13 15:00:00+00
1087,Rising Sun High School,Cecil,2,2021/04/13 15:00:00+00
1088,Smithsburg High School,Washington,2,2021/04/13 15:00:00+00
1089,Somerset Intermediate School,Somerset,2,2021/04/13 15:00:00+00
1090,Springfield Middle School,Washington,2,2021/04/13 15:00:00+00
1091,St. John the Evangelist School,Anne Arundel,6,2021/04/13 15:00:00+00
1092,St. Mary School,Washington,2,2021/04/13 15:00:00+00
1093,Stephen Decatur High School,Worcester,5,2021/04/13 15:00:00+00
1094,Talbott Springs Elementary School,Howard,4,2021/04/13 15:00:00+00
1095,Talmudical Academy Elementary School,Baltimore,7,2021/04/13 15:00:00+00
1096,The Heights School,Montgomery,2,2021/04/13 15:00:00+00
1097,The Odyssey School,Baltimore,5,2021/04/13 15:00:00+00
1098,Walkersville High School,Frederick,6,2021/04/13 15:00:00+00
1099,Williamsport High School,Washington,18,2021/04/13 15:00:00+00
1100,Beall Elementary School,Allegany,5,2021/04/21 15:00:00+00
1101,Bel Air Elementary School,Harford,2,2021/04/21 15:00:00+00
1102,Bnos Yisroel of Baltimore,Baltimore City,10,2021/04/21 15:00:00+00
1103,Boonsboro High School,Washington,16,2021/04/21 15:00:00+00
1104,Broadfording Christian Academy,Washington,2,2021/04/21 15:00:00+00
1105,Centreville Middle School,Queen Anne's,3,2021/04/21 15:00:00+00
1106,Chopticon High School,St. Mary's,3,2021/04/21 15:00:00+00
1107,Concordia Preparatory School,Baltimore,9,2021/04/21 15:00:00+00
1108,Eastern Elementary School,Washington,3,2021/04/21 15:00:00+00
1109,Eastern Technical High School,Baltimore,5,2021/04/21 15:00:00+00
1110,Forest Lakes Elementary School,Harford,3,2021/04/21 15:00:00+00
1111,Fulton Elementary School,Howard,6,2021/04/21 15:00:00+00
1112,Golden Ring Middle School,Baltimore,2,2021/04/21 15:00:00+00
1113,Great Seneca Creek Elementary School,Montgomery,2,2021/04/21 15:00:00+00
1114,Honey Go Elementary School,Baltimore,2,2021/04/21 15:00:00+00
1115,Lincolnshire Elementary School,Washington,3,2021/04/21 15:00:00+00
1116,Mace's Lane Middle School,Dorchester,5,2021/04/21 15:00:00+00
1117,Marriotts Ridge High School,Howard,2,2021/04/21 15:00:00+00
1118,Mount St. Joseph High School,Baltimore City,2,2021/04/21 15:00:00+00
1119,New Market Middle School,Frederick,5,2021/04/21 15:00:00+00
1120,North Caroline High School,Caroline,3,2021/04/21 15:00:00+00
